INFO 2023-01-07 00:39:49,380 autoreload 78715 8304387328 Watching for file changes with StatReloader
DEBUG 2023-01-07 00:39:49,381 autoreload 78715 8304387328 Waiting for apps ready_event.
DEBUG 2023-01-07 00:39:49,678 autoreload 78715 8304387328 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-01-07 00:39:49,688 autoreload 78715 8304387328 Watching dir /Users/yellowflash/PycharmProjects/anovin/anovin/web/templates with glob **/*.
DEBUG 2023-01-07 00:39:49,689 autoreload 78715 8304387328 Watching dir /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2023-01-07 00:39:49,689 autoreload 78715 8304387328 Watching dir /Users/yellowflash/PycharmProjects/anovin/anovin/locale with glob **/*.mo.
DEBUG 2023-01-07 00:39:49,689 autoreload 78715 8304387328 Watching dir /Users/yellowflash/PycharmProjects/anovin/anovin/web/locale with glob **/*.mo.
DEBUG 2023-01-07 00:39:49,689 autoreload 78715 8304387328 Watching dir /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2023-01-07 00:39:49,712 utils 78715 6147764224 (0.001) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2023-01-07 00:39:49,713 utils 78715 6147764224 (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2023-01-07 00:39:49,810 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/contrib/messages/utils.py first seen with mtime 1670854588.6862142
DEBUG 2023-01-07 00:39:49,810 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/db/models/utils.py first seen with mtime 1670854588.8385367
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/bisect.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/lib-dynload/_ctypes.cpython-310-darwin.so first seen with mtime 1648071407.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/sqlparse/filters/reindent.py first seen with mtime 1670854588.191057
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/views/decorators/http.py first seen with mtime 1670854588.8711169
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/utils/topological_sort.py first seen with mtime 1670854588.8683574
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/asyncio/base_subprocess.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/subprocess.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/sqlparse/formatter.py first seen with mtime 1670854588.1892245
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/numpy/core/numeric.py first seen with mtime 1671068863.8537445
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/concurrent/futures/__init__.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/asyncio/__init__.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1670854588.8353167
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/dispatch/__init__.py first seen with mtime 1670854588.8426743
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1670854588.5486016
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/sqlparse/cli.py first seen with mtime 1670854588.1889076
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/copyreg.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/pydoc.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/contrib/sitemaps/__init__.py first seen with mtime 1670854588.777382
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/db/backends/sqlite3/_functions.py first seen with mtime 1670854588.8318422
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1670854588.5487318
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/views/decorators/cache.py first seen with mtime 1670854588.8704288
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/contrib/auth/backends.py first seen with mtime 1670854588.5099263
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/sqlparse/filters/tokens.py first seen with mtime 1670854588.191327
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/__init__.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/numpy/lib/utils.py first seen with mtime 1671068863.9976633
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/numpy/random/_common.cpython-310-darwin.so first seen with mtime 1671068864.0073082
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/asyncio/exceptions.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/__init__.py first seen with mtime 1670854588.3239028
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/numpy/random/_pickle.py first seen with mtime 1671068864.010576
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/dataclasses.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/views/generic/list.py first seen with mtime 1670854588.8720522
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/argparse.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/urllib/__init__.py first seen with mtime 1648071155.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/_weakrefset.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/getpass.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/pytz/tzinfo.py first seen with mtime 1670854588.223822
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/rest_framework/utils/encoders.py first seen with mtime 1670854589.4989588
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/core/files/__init__.py first seen with mtime 1670854588.8162441
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/encodings/__init__.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/signal.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/PIL/_imaging.cpython-310-darwin.so first seen with mtime 1670894651.5793664
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/db/models/functions/__init__.py first seen with mtime 1670854588.8403769
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/urllib3/request.py first seen with mtime 1671068863.7532501
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/_policybase.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/contrib/auth/management/__init__.py first seen with mtime 1670854588.546363
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/contrib/admin/options.py first seen with mtime 1670854588.3852394
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/ntpath.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,811 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/utils/deprecation.py first seen with mtime 1670854588.8652747
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/charset_normalizer/api.py first seen with mtime 1671068864.823557
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/templatetags/__init__.py first seen with mtime 1670854588.8604617
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/urllib3/util/ssl_.py first seen with mtime 1671068863.756093
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/numpy/core/getlimits.py first seen with mtime 1671068863.8520103
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/charset_normalizer/models.py first seen with mtime 1671068864.8243117
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/core/mail/__init__.py first seen with mtime 1670854588.8181396
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/urllib3/packages/__init__.py first seen with mtime 1671068863.7547827
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/_compat_pickle.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/numpy/polynomial/legendre.py first seen with mtime 1671068864.0276852
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/sqlite3/__init__.py first seen with mtime 1648071155.0
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/db/backends/signals.py first seen with mtime 1670854588.825786
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/db/models/fields/__init__.py first seen with mtime 1670854588.8388596
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/openai/api_resources/abstract/deletable_api_resource.py first seen with mtime 1671068867.0268548
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/numpy/core/_add_newdocs.py first seen with mtime 1671068863.8400242
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/quoprimime.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/heapq.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/multiprocessing/context.py first seen with mtime 1648071155.0
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/urllib3/_collections.py first seen with mtime 1671068863.7522016
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/PIL/TiffTags.py first seen with mtime 1670894651.5689118
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/contrib/sessions/base_session.py first seen with mtime 1670854588.7458315
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/utils/tree.py first seen with mtime 1670854588.868474
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/core/servers/basehttp.py first seen with mtime 1670854588.8250375
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/rest_framework/metadata.py first seen with mtime 1670854589.4623306
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/json/scanner.py first seen with mtime 1648071155.0
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/_virtualenv.py first seen with mtime 1670545892.7485046
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/email/parser.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/PIL/Image.py first seen with mtime 1670894651.573389
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/template/loaders/base.py first seen with mtime 1670854588.86003
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/asyncio/mixins.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/core/management/base.py first seen with mtime 1670854588.819626
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/anovin/web/__init__.py first seen with mtime 1672110389.491925
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/urllib3/util/request.py first seen with mtime 1671068863.7556825
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/openai/openai_response.py first seen with mtime 1671068867.0240777
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/db/backends/base/schema.py first seen with mtime 1670854588.8272538
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/db/models/signals.py first seen with mtime 1670854588.8384163
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/urllib3/packages/six.py first seen with mtime 1671068863.7549667
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/middleware/http.py first seen with mtime 1670854588.8564467
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/numpy/core/multiarray.py first seen with mtime 1671068863.8409386
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/views/generic/edit.py first seen with mtime 1670854588.8719196
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1670854588.5115416
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/inspect.py first seen with mtime 1648071154.0
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/html/__init__.py first seen with mtime 1648071155.0
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Library/Frameworks/Python.framework/Versions/3.10/lib/python3.10/xml/dom/xmlbuilder.py first seen with mtime 1648071155.0
DEBUG 2023-01-07 00:39:49,812 autoreload 78715 8304387328 File /Users/yellowflash/PycharmProjects/anovin/venv/lib/python3.10/site-packages/django/contrib/messages/apps.py first seen with mtime 1670854588.6857584
